scenario,mechanism,bad_debt_rate,max_bad_debt,bad_debt_es95,avg_bad_debt,false_liquidation_count,false_liquidation_loss,total_user_loss,liquidation_count,liquidation_timing,liquidation_delay,early_liquidation_lead,ending_collateral_eth,ending_debt_usdc,scenario_group,delay_for_score,solvency_feasible,pareto_efficient,topsis_score,topsis_rank,bad_debt_es95_rank,false_liquidation_loss_rank,total_user_loss_rank,liquidation_delay_rank,liquidation_count_rank,mean_rank,metric_win_count,user_risk_axis,protocol_risk_axis
random_normal_10,uspl,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,1391.0041819738187,normal,0.0,True,True,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,0.0,0.0
random_drawdown_01,fixed,0.7777777777777778,139.43022963339004,131.72858466127613,127.93720681483485,0,0.0,101.53055740434517,57,3.0,3.0,0.0,0.0,129.16136967057147,drawdown,3.0,False,True,0.6111759760717189,2.0,3.0,2.0,2.0,3.0,3.0,2.6,1,25.382639351086294,166.58614206962363
random_drawdown_01,twap,0.7777777777777778,393.1975091439988,350.8080130108905,331.68633480082735,0,0.0,91.15471683954769,55,5.0,5.0,0.0,0.0,336.6781809665211,drawdown,5.0,False,True,0.4331253156728915,4.0,4.0,2.0,1.0,4.0,2.0,2.6,2,22.788679209886922,449.1073902968902
random_drawdown_01,buffer,0.7638888888888888,39.915584065727984,33.964204005836095,32.10075339561905,0,0.0,106.3896053552468,58,2.0,2.0,0.0,0.0,31.980410652538794,drawdown,2.0,False,True,0.7008130923571027,1.0,2.0,2.0,4.0,2.0,4.0,2.8,1,26.5974013388117,43.94310002226809
random_drawdown_01,uspl,0.013888888888888888,2.1960641814783344,2.1960641814783344,2.1960641814783344,4,27.31768589544017,105.03450044073452,10,-8.0,0.0,8.0,0.04427554024619523,59.08250894278453,drawdown,0.0,False,True,0.569129927000128,3.0,1.0,4.0,3.0,1.0,1.0,2.0,3,53.5763110056238,2.745080226847918
random_drawdown_02,fixed,0.2638888888888889,65.49291580262383,53.22355135146084,49.80870189044506,0,0.0,101.45826897745022,21,3.0,3.0,0.0,0.0,49.13376320107317,drawdown,3.0,False,True,0.678463397741032,1.5,2.5,2.0,3.5,2.5,3.5,2.8,1,25.364567244362554,69.5967803021168
random_drawdown_02,twap,0.2638888888888889,309.6872997614166,264.04573077119323,251.51267211330267,0,0.0,91.47336341544793,19,5.0,5.0,0.0,0.0,248.8318744411188,drawdown,5.0,False,True,0.44262187931223274,4.0,4.0,2.0,1.0,4.0,2.0,2.6,2,22.868340853861984,341.4675557115474
random_drawdown_02,buffer,0.2638888888888889,65.49291580262383,53.22355135146084,49.80870189044506,0,0.0,101.45826897745022,21,3.0,3.0,0.0,0.0,49.13376320107317,drawdown,3.0,False,True,0.678463397741032,1.5,2.5,2.0,3.5,2.5,3.5,2.8,1,25.364567244362554,69.5967803021168
random_drawdown_02,uspl,0.013888888888888888,0.593523476894859,0.593523476894859,0.593523476894859,2,14.599837544900796,99.82114191799418,8,-42.0,0.0,42.0,0.0594383489629503,81.8763043901938,drawdown,0.0,False,True,0.5606603094512331,3.0,1.0,4.0,2.0,1.0,1.0,1.8,3,39.55512302439934,0.7419043461185737
random_drawdown_03,fixed,0.2638888888888889,96.09218249141367,85.72675905477541,78.67468771433383,0,0.0,101.48728109895498,20,3.0,3.0,0.0,0.0,82.27161790922932,drawdown,3.0,False,True,0.6201798379882397,2.0,3.0,1.5,3.0,3.0,4.0,2.9,1,25.371820274738745,109.74980467762883
random_drawdown_03,twap,0.25,344.24834932812405,299.9620666045231,288.01125371625716,0,0.0,91.34086337625031,18,5.0,5.0,0.0,0.0,285.1999723633228,drawdown,5.0,False,True,0.42721847792080514,4.0,4.0,1.5,1.0,4.0,3.0,2.7,2,22.835215844062578,386.0241539365541
random_drawdown_03,buffer,0.0,0.0,0.0,0.0,1,3.300026937325514,102.30083505709094,5,2.0,2.0,0.0,0.04897221981061435,66.00053874651027,drawdown,2.0,True,True,0.8088014964508539,1.0,1.5,3.0,4.0,2.0,1.0,2.3,2,28.87523570159825,0.0
random_drawdown_03,uspl,0.0,0.0,0.0,0.0,3,27.38327214371634,99.626667821828,9,-42.0,0.0,42.0,0.08739895380522875,119.48388345176869,drawdown,0.0,True,True,0.5671505836500944,3.0,1.5,4.0,2.0,1.0,2.0,2.1,2,52.28993909917334,0.0
